; Do not edit this file, it was generated by `get_holidays.py
; SPDX-FileCopyrightText: 2023 Helmholtz-Zentrum hereon GmbH
; SPDX-License-Identifier: CC0-1.0
Date,Holiday
1984-01-11,Commémoration de la présentation du manifeste de l'indépendance
1984-03-03,Fête du Trône
1984-05-01,Fête du Travail
1984-06-30,Eid al-Fitr* (*estimated)
1984-07-01,Eid al-Fitr* (*estimated)
1984-07-09,Fête du Trône
1984-08-14,Journée de Oued Ed-Dahab
1984-08-20,Commémoration de la révolution du Roi et du peuple
1984-09-05,Eid al-Adha* (*estimated)
1984-09-06,Eid al-Adha* (*estimated)
1984-09-26,1er Moharram* (*estimated)
1984-11-06,Marche verte
1984-11-18,Fête de l'indépendance
1984-12-04,Aid al Mawlid Annabawi* (*estimated)
1984-12-05,Aid al Mawlid Annabawi* (*estimated)
1985-01-01,Nouvel an - Premier janvier
1985-01-11,Commémoration de la présentation du manifeste de l'indépendance
1985-03-03,Fête du Trône
1985-05-01,Fête du Travail
1985-06-19,Eid al-Fitr* (*estimated)
1985-06-20,Eid al-Fitr* (*estimated)
1985-07-09,Fête du Trône
1985-08-14,Journée de Oued Ed-Dahab
1985-08-20,Commémoration de la révolution du Roi et du peuple
1985-08-26,Eid al-Adha* (*estimated)
1985-08-27,Eid al-Adha* (*estimated)
1985-09-15,1er Moharram* (*estimated)
1985-11-06,Marche verte
1985-11-18,Fête de l'indépendance
1985-11-24,Aid al Mawlid Annabawi* (*estimated)
1985-11-25,Aid al Mawlid Annabawi* (*estimated)
1986-01-01,Nouvel an - Premier janvier
1986-01-11,Commémoration de la présentation du manifeste de l'indépendance
1986-03-03,Fête du Trône
1986-05-01,Fête du Travail
1986-06-08,Eid al-Fitr* (*estimated)
1986-06-09,Eid al-Fitr* (*estimated)
1986-07-09,Fête du Trône
1986-08-14,Journée de Oued Ed-Dahab
1986-08-15,Eid al-Adha* (*estimated)
1986-08-16,Eid al-Adha* (*estimated)
1986-08-20,Commémoration de la révolution du Roi et du peuple
1986-09-05,1er Moharram* (*estimated)
1986-11-06,Marche verte
1986-11-14,Aid al Mawlid Annabawi* (*estimated)
1986-11-15,Aid al Mawlid Annabawi* (*estimated)
1986-11-18,Fête de l'indépendance
1987-01-01,Nouvel an - Premier janvier
1987-01-11,Commémoration de la présentation du manifeste de l'indépendance
1987-03-03,Fête du Trône
1987-05-01,Fête du Travail
1987-05-28,Eid al-Fitr* (*estimated)
1987-05-29,Eid al-Fitr* (*estimated)
1987-07-09,Fête du Trône
1987-08-04,Eid al-Adha* (*estimated)
1987-08-05,Eid al-Adha* (*estimated)
1987-08-14,Journée de Oued Ed-Dahab
